Symbol	Nullable	First	Follow
arg_list	false	BOOL_LIT IDENT INT_LIT LPAREN NEW	RPAREN
arg_list'	true	COMMA ϵ	RPAREN
args	true	BOOL_LIT IDENT INT_LIT LPAREN NEW ϵ	RPAREN
compound_stmt	false	BEGIN	BEGIN ELSE END IDENT IF PRINT RETURN WHILE
decl_list	true	FUNC ϵ	$
decl_list'	true	FUNC ϵ	$
expr	false	BOOL_LIT IDENT INT_LIT LPAREN NEW	BEGIN COMMA RBRACKET RPAREN SEMI THEN
expr'	true	EXPROP RELOP ϵ	BEGIN COMMA RBRACKET RPAREN SEMI THEN
expr_stmt	false	IDENT	BEGIN ELSE END IDENT IF PRINT RETURN WHILE
factor	false	BOOL_LIT IDENT INT_LIT LPAREN NEW	BEGIN COMMA EXPROP RBRACKET RELOP RPAREN SEMI TERMOP THEN
factor'	true	DOT LBRACKET LPAREN ϵ	BEGIN COMMA EXPROP RBRACKET RELOP RPAREN SEMI TERMOP THEN
fun_decl	false	FUNC	$ FUNC
if_stmt	false	IF	BEGIN ELSE END IDENT IF PRINT RETURN WHILE
local_decl	false	VAR	BEGIN END IDENT IF PRINT RETURN VAR WHILE
local_decls	true	VAR ϵ	BEGIN END IDENT IF PRINT RETURN WHILE
local_decls'	true	VAR ϵ	BEGIN END IDENT IF PRINT RETURN WHILE
param	false	IDENT	COMMA RPAREN
param_list	false	IDENT	RPAREN
param_list'	true	COMMA ϵ	RPAREN
params	true	IDENT ϵ	RPAREN
prim_type	false	BOOL INT	BEGIN COMMA LBRACKET RPAREN SEMI
print_stmt	false	PRINT	BEGIN ELSE END IDENT IF PRINT RETURN WHILE
program	true	FUNC ϵ	$
return_stmt	false	RETURN	BEGIN ELSE END IDENT IF PRINT RETURN WHILE
stmt	false	BEGIN IDENT IF PRINT RETURN WHILE	BEGIN ELSE END IDENT IF PRINT RETURN WHILE
stmt_list	true	BEGIN IDENT IF PRINT RETURN WHILE ϵ	ELSE END
stmt_list'	true	BEGIN IDENT IF PRINT RETURN WHILE ϵ	ELSE END
term	false	BOOL_LIT IDENT INT_LIT LPAREN NEW	BEGIN COMMA EXPROP RBRACKET RELOP RPAREN SEMI THEN
term'	true	TERMOP ϵ	BEGIN COMMA EXPROP RBRACKET RELOP RPAREN SEMI THEN
type_spec	false	BOOL INT	COMMA RPAREN SEMI
type_spec'	true	LBRACKET ϵ	COMMA RPAREN SEMI
while_stmt	false	WHILE	BEGIN ELSE END IDENT IF PRINT RETURN WHILE
